,content,categories,priority
893,currently batangas keep safe stay alert everyone ,,
894,class suspension ,,
895,hi si how u heard hagupit u ok ,,
896,least 21 dead after typhoon batter philippine ,,
897,typhoon look incredibly powerful thankfully look like s dissipate ,,
898,na nasalanta ng bagyong ruby please remember god always beside ,,
899,hagupit batter philippines least 21 dead ,,
900,top story philippines super typhoon more new york protest ,,
901,christmas season usa snow canada snow philippine rain typhoon ,,
902,3 dead 900k evacuate typhoon slam philippine ,,
903,stay safe everyone ,,
904,flood news philippine typhoon weakens still deadly ,,
905,stay safe dry people ,,
906,come when skate typhoon ruby ,,
907,pray tropical storm hagupit sweep across country please amp support agency work ground ,,
908,cold never bother me anyway ,,
909,flood flood flood ,,
910,water sanitation urgent need people hit support world vision s relief effort gt ,,
911,hello effect keepsafe po ,,
912,pray protection suspension ,,
913,philippine typhoon havoc ,,
914,japan declare korina sanchez persona non grata 4 wishing typhoon would hit japan instead philippine ,,
915,dmed fix asap pls come up w contingency plan next typhoon philippine experience 20 year fyi ,,
916,deadly typhoon batter philippine ,,
917,priority 3 minute piece royal visit while same time cbs talk philippine typhoon amp afghanistan pullout ,,
918,o o m lose re lose me ,,
919,philippine capital brace storm hagupit leave 27 dead ,,
920,announcement pagasa super typhoon strong my feeling u kingina mo advise feel same way too ,,
921,cause peril port ,,
922,afraid prepared staff amp survivor rona preparation ,,
923,please just go may appointment pa kame sa asian tomorrow ,,
924,good evening ,,
925,oh forget run body count mann make typhoon philippine because know typhoon never happen before your suv ,,
926,hi guy keep warm stay wet ,,
927,anywayyysssss hear international storm name hagupit 3 ,,
928,strand ,,
929,stay safe ,,
930,wtf pagasa monitor another weather disturbance 2 more typhoon enter ph month ,,
931,philippine 2 dead powerful storm ,,
932,watch news gma news ,,
933,dear batelec stay strong wag kang mag brownout ha thank love marianne ,,
934,late ,,
935,stay safe dry everyone ,,
936,hagupit batter philippines least 21 dead ,,
937,dinner date ,,
938,nature doesn t negotiate ,,
939,hop hagupit ruby would last typhoon enter country year ,,
940,typhoon ruby hagupit remind me cover lol wind howl like swirl storm inside ,,
941,list class suspension tomorrow dec 9 2014 reposted ,,
942,tide hagupit thank god typhoon wasn t violent gul ,,
943,monitoring island ,,
944,least 21 dead typhoon batter philippine ,,
945,cantingas river sitwasyon sa san fernando sibuyan island romblon via ,,
946,pray never ever need any support get bad cs 3 week wait ,,
947,crazy typhoon ruby love philippine stay here week philippine don t want ruby just get hell out here ,,
948,uninvited guest just arrive ,,
949,3 dead 900000 evacuate typhoon slam philippines fox news ,,
950,read don t fly worst customer service ever ignore my request 3 week send all receipt ,,
951,narisma pagasa good get landfall correct project more westward track ,,
952,make our day into productive one ,,
953,hope re fine please pray our country fine bc typhoon hagupit here my country ,,
954,little reminder safe stay dry pray caboom love love cj navato ,,
955,philippine typhoon havoc ,,
956,trend philippine 07 44 pm pht 1 2 3 4 5 ,,
957,srsly my prayer go out ppl affect typhoon please stay safe always believe faith ,,
958,mexico pampanga class all level suspend tomorrow dec 9 2014 ,,
959,red cross least 21 kill typhoon hagupit philippine ,,
960,hagupit batter philippines kill least 21 ,,
961,beauty your brain empty knowledge your face damage hahaha ,,
962,outer reach 33 000 steering clear ,,
963,trend philippine typhoon weakens after leave least 21 dead fox news ,,
964,typhoon ruby don t give u dramatic entrance ,,
965,philippine capital brace storm hagupit leave 27 dead ,,
966,least 21 dead after typhoon batter philippine ,,
967,safe philippine tlist ,,
968,impressive child s disaster resilience affected eastern via ,,
969,typhoon slam philippine picture ,,
970,class all level quezon city suspend tomorrow dec 9 2014 aldrin cuna city administrator yes ,,
971,powerful typhoon hagupit slams eastern philippine 175 km hr ,,
972,something wicked way come ,,
973,u hav 2 read story till d end fav amp ,,
974,typhoon hagupit weaken ,,
975,baltimore base provide typhoon relief philippine ,,
976,typhoon churn across philippine 1 million evacuate ,,
977,pinay uae seek help premature baby ,,
978,typhoon churn across philippine 1 million evacuate ,,
979,death mount typhoon churn over philippine may nowhere near killer typhoon haiyan las ,,
980,weakens tropical ,,
981,hagupit scar me enough tough filipino ,,
982,check out gt map ongoing relief operation accept donation cash kind ,,
983,god s grace infinite love express itself through infinite goodness ,,
984,extend support group give assistance suffer another disaster sagip kapamilya ,,
985,child play fall coconut tree san julian town philippine vincent go ,,
986,asia pacific weekly regional humanitarian snapshot 2 8 december 2014 thyphoon hagupit ruby ,,
987,good even everyone keep safe keep safe din kuya les god bless ,,
988,hagupit destroy all internet signal win t able matchmake pinoys constantly curse ,,
989,mt late regional snapshot typhoon affect 1 million people more ,,
990,filipinos return home after typhoon hagupit fear future storm ,,
991,goodevening keepsafe everyone ,,
992,least 21 dead after typhoon batter philippine ,,
993,typhoon hagupit weaken weather calm after typhoon hagupit smash into philippine ,,
994,everyone please keep family friends amp whole country philippine your prayer today typhoon hit ,,
995,philippine typhoon weakens after leave least 21 dead via android app ,,
996,safe amp pray hard ,,
997,moonlit view typhoon above philippine ,,
998,kapatid update hagupit power eastern northern samar gov t plug food supply gap http ,,
999,international aid group rally donation hagupit hit area ,,
1000,ntd hagupit ravage philippine ,,
1001,philippine capital brace storm hagupit leave 27 dead via ,,
1002,typhoon tear down home disaster weary philippine watch ,,
1003,thousand flee hagupit nears philippine ,,
1004,strike pose before go home feel s presence outside ,,
1005,philippine escape major typhoon sends urgent warn climate negotiation ,,
1006,ooooooh tropical storm again take care everyone ,,
1007,feel great online business even super typhoon here philippine m still ,,
1008,least 21 dead after typhoon batter philippine ,,
1009,perfect inflatable gaga costume rainy amp flood season keepsafe monster lady gaga ,,
1010,help community like affect typhoon storm philippine prepare when disaster strike ,,
1011,hagupit ravage philippines watch ,,
1012,least 21 dead after typhoon batter philippine ,,
1013,all iz well good night ,,
1014,rain hard now here cavite strong wind lord help u ,,
1015,philippine typhoon havoc reuters ,,
1016,please guide accordingly ,,
1017,wish all safety strength amp support during ,,
1018,impassable road ,,
1019,philippine typhoon weakens after leave least 21 dead ,,
1020,typhoon hagupit weaken ,,
1021,philippine typhoon weakens still deadly ,,
1022,death toll typhoon hagupit climb ,,
1023,least 21 dead over 1 million force into shelter typhoon yet another reminder ,,
1024,typhoon hammer philippine fight our survival scientific american ,,
1025,typhoon hagupit death toll rise filipinos return home video guardian staff via network front guardian ,,
1026,late regional snapshot typhoon affect 1 million people more here ,,
1027,ravage ,,
1028,may god bless philippine typhoon hagupit hit philippine picture link update ,,
1029,prayer ,,
1030,philippine typhoon trigger major evacuation ,,
1031,pray everyone s safety keep safe ,,
1032,announcement pagasa super typhoon strong my feeling advise feel same way too ,,
1033,msg u hav 2 read story till d end fav amp ,,
1034,issue guideline medical team volunteer hit area ,,
1035,good evening wonderful people stay calm stay safe everyone ,,
1036,typhoon churn across philippine 1 million evacuate ,,
1037,stay safe guy ,,
1038,t right smack over top u now yes s torrential red bit lol ,,
1039,hagupit head manila 21 dead storm buffet philippine day weaken monday ,,
1040,why pointshave gov t toll still 2 red cross 21 ,,
1041,keep safe people ,,
1042,godbless everyone let pray ,,
1043,coffee right now maybe movie again later because ,,
1044,think kiwi feel hagupit too s extra clingy today ,,
1045,please know see google youtube know where bitch rubyph come ,,
1046,when plan leave ,,
1047,stop im scar ,,
1048,typhoon hagupit image show philippines villager resilience return devastation tropical storm ,,
1049,boring ,,
1050,perf gloomy weather laksa king noodle house ,,
1051,typhoon see international space station ,,
1052,god help u ,,
1053,congratulation even rain your parade hehehe ,,
1054,tropical storm hagupit batter philippines kill least 21 ,,
1055,goodevening ,,
1056,keep safe ,,
1057,stay safe baby ,,
1058,remember emergency hotlines stay safe everyone together get through ,,
1059,hope find shelter somewhere safe ,,
1060,keef safe guy ,,
1061,school just rebuild reopen haiyan ruin again heartbreaking ,,
1062,raw video typhoon leave least 21 people dead philippines force more than 1 million people into shelter ,,
1063,believe all thing possible believe ,,
1064,again feel like m inside saltwater room ,,
1065,typhoon hagupit weaken ,,
1066,your support never more needed give today ,,
1067,overstay your welcome ,,
1068,feati university suspend work tomorrow dec 9 ,,
1069,let s vigilant time distress stay safe everyone via photorepost_app ,,
1070,still need go work ,,
1071,your part help affect hagupit get back foot quickly possible ,,
1072,cold ,,
1073,typhoon lash philippine torrential rain ,,
1074,typhoon batter philippines leave least 21 dead ,,
1075,prayer most powerful thing stay safe everyone ,,
1076,typhoon hammer philippine fight our survival ,,
1077,rizal province class all level suspend tomorrow dec 9 2014 via ,,
1078,dear jesus please make our tomorrow well ,,
1079,non stop heavy rain luisiana laguna whole day please free go ,,
1080,tropical storm hagupit batter philippines kill least 21 ,,
1081,filipino official raise hagupit toll manila wait hagupit weaken tropical storm au ,,
1082,matter happen god always u ,,
1083,free car wash non stop rainfall ,,
1084,weekend typhoon hit philippine ,,
1085,philippine capital brace storm hagupit leave 27 dead ,,
1086,hagupit batter philippines least 21 dead ,,
1087,hope everyone safe under hagupit kind refuse acknowledge local name isolate u rest world ,,
1088,errrr connection please effect ,,
1089,top story hagupit batter philippines kill least 21 see more ,,
1090,wind here seem gather more strength let s keep pray god s protection favor mag ingat din ikaw ,,
1091,ruby all get ta all see all need time ruby life give me day say goodnight ,,
1092,all japanese re truly sorry rudeness unlawfulness our newscaster ,,
1093,hagupit s tea time ,,
1094,keep safe dry manilans here s sweater keep cozy warm ,,
1095,death toll climb 27 ,,
1096,amp demo how solar power kit work evacuee here laiya batangas ,,
1097,announcement pagasa super typhoon strong my feeling u kingina mo advise feel same way too ,,
1098,typhoon see international space station ,,
1099,typhoon hagupit weaken ,,
1100,goodnight ,,
1101,tropical storm hagupit batter philippines kill least 21 deadly storm batter philippine day weaken mon ,,
1102,ibaan electric co automatically shut down power safety precaution when typhoon arrives ,,
1103,typhoon churn across philippine 1 million evacuate ,,
1104,thinking help dept health issue guideline volunteer doctor go area ,,
1105,world manila brace storm leave 21 dead ,,
1106,everyone please keep family friends amp whole country philippine your prayer today typhoon hit ,,
1107,just pres aquino cancel dec 11 12 trip busan south korea asean rok summit focus response ,,
1108,now play don t ed sheeran bore rubyph ,,
1109,keep safe everyone ,,
1110,here go rain again ,,
1111,international aid group rally donation hagupit hit area ,,
1112,bbc news increase awareness danger typhoon make people nervous enough leave home ,,
1113,12 8 2014 front page typhoon lash philippine ,,
1114,tropical storm hagupit batter philippines kill least 21 ,,
1115,monday december 08 2014 least 21 people report dead philippine after typhoon hagupit ,,
1116,cant feel ,,
1117,quick break unicef call 2014 one worst year record world s child ,,
1118,photo gallery hit ,,
1119,typhoon least 21 kill manila brace ,,
1120,thank u god u answer our prayer ,,
1121,typhoon hagupit weaken tropical storm ,,
1122,typhoon hagupit weaken ,,
1123,typhoon force million evacuate philippine late 5 30am ,,
1124,tropical storm hagupit batter philippines kill least 21 ,,
1125,homework f ,,
1126,find love right where ,,
1127,just saw fb hahahaha ,,
1128,goodnight ingat u ,,
1129,follow me ,,
1130,pnoy cancel trip busan south korea asean rok summit focus response sends almendras purisima proxy usec valte ,,
1131,storm signal 2 anticipated heavy rain tom school close hope urban flooding doesn t cause damage tho ,,
1132,philippine island always remember jesus your shield amen ,,
1133,already landfall batangas safe alert dont forget pray god good ,,
1134,get afyer learn how bark stormy ,,
1135,pray philippine affect super typhoon ruby ,,
1136,class tomorrow bc hagupit ,,
1137,glad know my family loveones philippine okay thank god ,,
1138,typhoon churn across philippine 1 million evacuate ,,
1139,typhoon hagupit weaken tropical storm ,,
1140,galaxy lt 3 everyone please safe d ,,
1141,keep safe dry too fellow filipino ,,
1142,tomorrow december 9 tuesday ,,
1143,typhoon situation report 3 8 december 2014 via dag ,,
1144,god never leave u ,,
1145,suspend class ,,
1146,operation bless ph manages keep one step ahead super typhoon find out how extend help here ,,
1147,wind strength landfall make most powerful hit year ,,
1148,help develop infrastructure stop add trash island after typhoon ,,
1149,incase need some emergency hotlines please keep safe everyone ,,
1150,typhoon churn across philippine 1 million evacuate ,,
1151,official number out yet word typhoon hagupit prove effectiveness drr investment ,,
1152,couldn t go out because typhoon hagupit w ,,
1153,keep safe everyone ,,
1154,make cnn tho ,,
1155,philippine may need import 600 000 tonne rice after ,,
1156,hey lovelies how s everyone far safe stay home much possible philippine stay strong ,,
1157,pray my family everyone especially homeless proper safety shelter during time ,,
1158,homework f ,,
1159,typhoon hagupit weaken tropical storm ,,
1160,stay safe everyone love guy ,,
1161,homework f ,,
1162,19 31 pm seriously fuck ,,
1163,typhoon image hagupit lash philippine report legazpi ,,
1164,new post my blog baltimore base agency provide typhoon relief philippine ,,
1165,link ,,
1166,death toll revise upward ,,
1167,exactly need right now philippine batter again super typhoon since last week ,,
1168,fry crab ing ,,
1169,weaken may still drop foot rain ,,
1170,kapatid update hagupit tacloban tent camp dweller plead durable temporary shelter http ,,
1171,my family out ,,
1172,volunteer troop dswd warehouse tumblristas let s ,,
1173,tropical storm hagupit batter philippines kill least 21 ,,
1174,tropical storm hagupit batter philippines kill least 21 ,,
1175,2 500 home destroy 27 people kill typhoon hagupit philippine ,,
1176,cold wet km 0 ,,
1177,ingat guy always pray ,,
1178,nighty night kee safe everyone layas ,,
1179,photo afp photo philippine borongan destroy house tree slogan call help ,,
1180,thinking all keep updating safe ,,
1181,typhoon hagupit move towards manila home damage least 24 kill ,,
1182,god never abandon u amen goodnight fella pray philippine ,,
1183,typhoon hagupit hit eastern samar philippine oxfam assess damage ,,
1184,wp tropical storm advisory 31 45 kt 52 mph wind 13 8n 121 3e move wnw 6 kt 7 mph ,,
1185,mt typhoon thankfully look like s dissipate cool ,,
1186,philippine may need import 600 000 tonne rice after ,,
1187,pray leave ,,
1188,selfie kiddos get bore around here good thing re here ,,
1189,walang pasok thats blessing ,,
1190,please keep u all safe lord rubyph ,,
1191,over 20 people dead 1500 home destroy after typhoon batter philippine ,,
1192,good night stay safe guy pray please go away ,,
1193,over 20 dead philippine typhoon hagupit ,,
1194,just pres aquino cancel dec 11 12 trip busan south korea asean rok summit focus response ,,
1195,sleep all day bore all night ,,
1196,least 21 dead storm batter philippine ,,
1197,right after queenie ruby ,,
1198,worth reading ,,
1199,more than 14 000 batangas resident evacuate due ,,
1200,gnyt keepsafe guy ,,
1201,god s time d midst pope francis schedule visit 2 d philippine hagupit come 2 promote one world nation ,,
1202,too shall pass ,,
1203,hagupit god s interpretation my countless dream start 40yrs ago flood come amp d only way 2 survive 2 hold d cross ,,
1204,wifi bad than hagupit feast etherstorm actually my hometown ,,
1205,tropical storm hagupit batter philippines kill least 21 ,,
1206,good job korina ,,
1207,sabah brace super typhoon hagupit free malaysia today free malaysia todaysabah brace f g ,,
1208,least 21 dead after typhoon batter philippines usa today ,,
1209,rainy night abit wind ermita manila ,,
1210,keep safe everyone ,,
1211,s good thing government everything avert any lost life onslaught typhoon hagupit country ,,
1212,my get up win t let storm dampen my spirit ,,
1213,greenpeace campaign name typhoon after big polluter ,,
1214,welcome mnl ,,
1215,leave 21 dead ,,
1216,keep safe everyone ,,
1217,hop everybody stay warm dry safe wet cold windy evening ,,
1218,okay maybe important because ph face ruby ,,
1219,really want finish book think need sleep bc feeling hagupit wake me up later ,,
1220,news philippine typhoon hagupit oxfam ,,
1221,help typhoon victim philippine via ,,
1222,keep safe everyone ,,
1223,over 12 8 composite ,,
1224,typhoon lash philippines manila brace hit usa today ,,
1225,panahontv update tomorrow december 9 tuesday ,,
1226,philippine may seek up 600 000 tonne rice import after typhoon ,,
1227,time leave par typhoon hagupit enough show your might give u some space deal our life ,,
1228,hot sopas cold stormy night hit spot ,,
1229,typhoon hagupit kill 21 samar island philippine red cross yahoo news philippine ,,
1230,our friendship strong than advance happy birthday robinson place ,,
1231,already landfall here batangas safe alert always pray ,,
1232,enjoy 2014 champion god speed help world poverty esp gotze help philippine less priveledged child ,,
1233,just pres aquino cancel dec 11 12 trip busan south korea asean rok summit focus response ,,
1234,typhoon hagupit weaken ,,
1235,mar roxas motorbike spill mar pr while wife korina strike again ,,
1236,god u let s pray everyone s safety ,,
1237,maybe trap ,,
1238,pray people philippine ,,
1239,please pray philippine filipino 5sos fam bc s typhoon come ,,
1240,typhoon hammer philippine fight our survival via ,,
1241,shu shu go away re welcome here ,,
1242,evacuation help limit human toll ,,
1243,philippine typhoon weaken least 21 dead ,,
1244,good news downgrade tropical storm continue provide emergency support ,,
1245,good even everyone keep safe ,,
1246,342 sharpen my colour skill while waitin ruby hagupit come around ,,
1247,heavy rain ,,
1248,keep praying ,,
1249,let all please leave ,,
1250,god all thing possible impossible let all ,,
1251,another typhoon hit philippine delegate remind last year amp urge take action ,,
1252,my thought prayer affect typhoon hagupit ,,
1253,threat ,,
1254,dear please gtfo leave beautiful cold weather ,,
1255,wait ,,
1256,thank lord ,,
1257,philippine typhoon spark call climate action ,,
1258,read our late statement here follow related tweet ,,
1259,break news hagupit via ,,
1260,stay safe our god big than any storm god bless u ,,
1261,pdrrmo least 3 000 house damage eastern samar ,,
1262,sabah brace super typhoon hagupit free malaysia today free malaysia todaysabah brace g ,,
1263,goodnight ,,
1264,hagupit ravage philippine ,,
1265,happy feast day immaculate concepcion please bless protect philippine typhoon ruby shelter your warm embrace amen ,,
1266,watch upd msg tropical storm hagupit nw pacific ocean wind 45 kt gust 55 kt report jtwc ,,
1267,pray protection suspension ,,
1268,public service prepare typhoon ruby ,,
1269,god our refuge strength ever present help trouble psalm 46 1 let u pray everyone ,,
1270,might give u bad weather u r like sunshine dt give reason 2 smile hop see u soon ,,
1271,another subject hope everyone follow me enjoy my tweet find your heart help victim any way ,,
1272,god lay hand our friend philippine everyone affect typhoon prayer ,,
1273,update q msf surgical team philippine typhoon hagupit ,,
1274,december 9 ,,
1275,here s simple ruby geosearch masbate area same hagupit masbate ,,
1276,red cross least 21 kill typhoon hagupit philippine ,,
1277,take care god bless god always u ,,
1278,21 dead 1 million shelter after typhoon soak philippine via app ,,
1279,please help my family survive after write blog post every donation ,,
1280,tropical storm long stay cyclone inside par year hit landmass four time ,,
1281,slam 2 500 home destroy 27 people kill sputnik international ,,
1282,shall natrice thanks ,,
1283,activates typhoon ,,
1284,must create countering wind balance force ,,
1285,time hit sack goodnight pray ,,
1286,please stay safe everyone ,,
1287,g night keep safe everyone don t forget pray before sleep god bless ,,
1288,en otras noticias death toll typhoon hagupit rise philippine ,,
1289,red cross say 21 people report dead samar island philippine typhoon hagupit ,,
1290,whooo away go please ,,
1291,typhoon hagupit leave 27 dead philippine head capital ,,
1292,keep safe keep warm everyonnneee shiver huhu ,,
1293,pray tropical storm hagupit sweep across country please amp support ,,
1294,rainy even stay safe guy ,,
1295,unicef mobilizes reach child family affect typhoon hagupit unicef ,,
1296,,,
1297,finish strong safe y all good night ,,
1298,top account follow ,,
1299,soar above storm ,,
1300,help my mother country donate share awareness thank y ,,
1301,typhoon hammer philippine fight our survival trfn via ,,
1302,typhoon churn across philippine 1 million evacuate ,,
1303,off bgc ,,
1304,hagupit s initial damage philippine agriculture hit over 22ml usd globalpost ,,
1305,ph air force s c130 before depart borongan earlier today deliver ,,
1306,just pray ,,
1307,good night keep praying ,,
1308,typhoon slam philippines picture pinoy some resilient people ,,
1309,tropical storm hagupit batter philippines kill least 21 ,,
1310,pray god ,,
1311,gusty wind ,,
1312,cyd stand impact climate change ,,
1313,god please take care u typhoon hagupit please go away kill 11 year old go away please ,,
1314,thanks u hear typhoon last year hear philippine harry niall louis tweet nov 13 ,,
1315,solidarity just sympathy climate justice now typhoon ,,
1316,close my eye pray ,,
1317,philippine area return normal wake typhoon hagupit typhoon hagupit downgrade ,,
1318,pray protection suspension ,,
1319,solidarity just sympathy need climate justice now ,,
1320,global humanitarian appeal launch say more save life eg impact ,,
1321,wunderground hagupit weaken tropical storm after kill 21 philippine light moderate rain ,,
1322,s update pass already ,,
1323,typhoon hagupit weaken ,,
1324,maybe explain my cold foot ,,
1325,typhoon hagupit leave 27 dead philippine head capital typhoon hagupit weaken tropical ct ,,
1326,philippine area return normal wake typhoon hagupit typhoon hagupit ,,
1327,port disruption typhoon pass through philippine ,,
1328,safe everyone prepared should fear ,,
1329,sweet thank maddi pray all my maddians affect typhoon philippine ,,
1330,philippine typhoon havoc ,,
1331,philippine shutter capitol market school after typhoon s fourth landfall ,,
1332,over 1m people evacuate safety centre continue batter more ,,
1333,all area affect let s make sure assess need properly respond good ,,
1334,typhoon ,,
1335,my country danger again ,,
1336,earlier view outside my room dark cloud tho ,,
1337,pagasa prepare 11 pm update tropical storm ,,
1338,powerful typhoon hit philippine ,,
1339,uneducated reporter ,,
1340,godbless hs rport wen recgnzed god s power over amp mercy grace 4 d pple d ,,
1341,take chance philippines weather megan bradley explains firsthand s different time ,,
1342,brrrr love temp go away leave cold breeze behind ,,
1343,stay safe everyone ,,
1344,lord please keep safe affect ,,
1345,hagupit batter philippines kill least 21 ,,
1346,slow move typhoon drenches philippine ,,
1347,typhoon hagupit displace one million filipino ,,
1348,sweep across maulid warfa talk unicef s work ,,
1349,disaster make s absolutely terrible ,,
1350,lord please keep my family safe ,,
1351,mt stand solidarity just sympathy climate justice now typhoon ,,
1352,lift number cod scheme dec 9 due typhoon hagupit ,,
1353,im my fking period s like rain get strong ,,
1354,help u pray philippine thank ,,
1355,hagupit ravage philippine ,,
1356,keep safe dry everyone ,,
1357,amaze moonlit view directly above typhoon ,,
1358,everyone hope safe good luck rebuild glad hear violent ,,
1359,flood news typhoon hagupit death toll jump philippine samar island ,,
1360,mini heart attack when follow me haha thanks man mean lot make my day brighter even hagupit kill u _ ,,
1361,typhoon space photo our thought w esp our friend ,,
1362,class again metro manila suspend tomorrow all level private public school ,,
1363,least 21 dead after typhoon batter philippines usa today ,,
1364,keep safe guy ,,
1365,death toll philippine typhoon climb 21 ,,
1366,cyd stand impact climate change ,,
1367,philippine typhoon havoc ,,
1368,let s pray safety people now philippine ,,
1369,weekend typhoon hit eastern move towards capital ,,
1370,2 kill typhoon batter philippine ,,
1371,typhoon hagupit take slow track across philippine keep land people our thought prayer ,,
1372,21 dead 1 million shelter after typhoon soak philippine ,,
1373,pray hard ,,
1374,philippine area return normal wake typhoon hagupit ,,
1375,good night still calm quite here hope skip keep pray ,,
1376,my thought prayer affect typhoon hagupit ,,
1377,never doubt forecast hagupit too bad many chose foreign forecast cause confusion saw start ,,
1378,weekend typhoon hit eastern move towards capital ,,
1379,dear god please keep all people animal safe ,,
1380,sweep philippine ,,
1381,typhoon lash philippines manila brace hit usa today ,,
1382,feel bit concerned travel plan monsoon watch weather south hop everyone safe ,,
1383,cant pre order cause theres typhoon philippine right now ,,
1384,typhoon hagupit kill 21 philippine time india ,,
1385,manila brace landfall storm leave 21 dead typhoon hagupit weaken into tropical storm monday ,,
1386,pagasa prepare 11 pm update tropical storm ,,
1387,condolence typhoon hagupit displace one million filipino ,,
1388,death toll typhoon hagupit rise philippine ,,
1389,direct flight manila tonight good go look like ll narrowly miss ugh airplane bad ,,
1390,11 11 go away ruby ,,
1391,tropical storm hagupit batter philippines kill least 21 ,,
1392,new video add typhoon hagupit wreak havoc lead filipino environmental voice silence u n org ,,
1393,sitrep cavite most part experience moderate heavy rain strong wind approach ,,
1394,philippine learn much super typhoon yolanda re get well disaster preparedness thumb up ,,
1395,stay safe dry everyone ,,
1396,stay safe dry everyone ,,
1397,philippine typhoon disaster preparedness highlight vatican radio vatican radiophilippines typhoon disa ,,
1398,don t stop believing power prayer faith god mercy miracle give u ,,
1399,please spread ,,
1400,since last night two our dog camp here my room because hagupit lol ,,
1401,woohoo ,,
1402,trend vine twitter compilation please retweet amp favorite ,,
1403,fight ,,
1404,name philippine typhoon after big polluter bet win t call typhoon china like commie more than business ,,
1405,our roof t definitely take anymore ,,
1406,estimate rainfall typhoon 04 07 december ,,
1407,youth demonstrate solidarity yet another typhoon devastate philippine ,,
1408,thanks god far weaken now move across southern batangas accord pagasa ,,
1409,mr sun plsss come out quickly ,,
1410,hold accountable climate crisis ,,
1411,goodnight cold evening ,,
1412,pacific partnership philippine 2014 humanitarian medical effort ,,
1413,see also run philippine time ,,
1414,pray philippine please keep u update typhoon ,,
1415,top story hagupit batter philippines kill least 21 see more ,,
1416,take care just go fine ,,
1417,filipino community brace fallout typhoon hagupit ,,
1418,trend world wide 03 12 pm gmt 1 2 3 4 5 ,,
1419,typhoon ,,
1420,typhoon hagupit didn t pas indonesia probably ll pas thailand ,,
1421,storm full swing here our area strong wind rag heavy downpour continue pray our nation ,,
1422,tropical storm ruby expect exit ph area responsibility wednesday evening ,,
1423,rain here hahaha ,,
1424,y u cold ba dont bitter na ok re freeze here brrr ,,
1425,power collective prayer expect exit par wednesday december 10 even maximum wind 65kph pagasa ,,
1426,pray before sleep goodnight ,,
1427,st t ts ,,
1428,lastly something help philippine dont share rappler article facebook complains like lil bitch ,,
1429,keep safe ,,
1430,sorry bother u late know ur off work need know cory mention anything super typhoon hagupit ,,
1431,21 dead 1m shelter after typhoon hit philippine ,,
1432,keep fight guy ,,
1433,bless hidden every trial life willing open your heart see ,,
1434,rainfall map 04 07dec2014 ,,
1435,keepsafe everyone ,,
1436,philippine typhoon havoc via ,,
1437,strong wind rain already happen here parañaque ,,
1438,ft typhoon spur call climate change compensation ,,
1439,unisdr head laud disaster risk management ,,
1440,hagupit make landfall ,,
1441,typhoon hagupit wreak havoc lead filipino environmental voice silence u n cli ,,
1442,our god big than any storm keep praying god u ,,
1443,11 11 stay safe ,,
1444,thank u god 4 everything humina na si ,,
1445,greenpeace fear monger philippine typhoon ,,
1446,via bloomberg philippine deal well death destruction cause wake ,,
1447,pray protection suspension yeah ,,
1448,praise god midst storm ,,
1449,go away ,,
1450,tropical storm hagupit batter philippines kill least 21 ,,
1451,rainy ,,
1452,safety everyone ,,
1453,even after korina some people japan still ask donation philippine future aid respect ,,
1454,happy birthday sa boy friend ko stay good baby boy god bless celebrate hahaha ,,
1455,wind howl like swirl storm inside ,,
1456,death toll jump after philippine typhoon ,,
1457,stay safe everyone ,,
1458,msf typhoon weaken although level damage amp need people island samar still unclear ,,
1459,photo infinity imagine typhoon hagupit approach philippine december 4th 2014 image ,,
1460,u hav 2 read story till d end fav amp ,,
1461,hi bea welcome 2the fanmily add u 2the philippine 4 now 2 help u find other fan near u ,,
1462,approach typhoon west ,,
1463,power out here batangas city rubyph ,,
1464,ge ganyan naman talaga eh rain stop please don t make u gulat ,,
1465,please visit lee 21 daid aft r tyfoon hagupit strike philippine ,,
1466,hit year after part building great resilience ,,
1467,when rain pour ,,
1468,hagupit barrel through philippine kill 24 ,,
1469,manila downgrade storm signal 1 keep praying ,,
1470,announcement streak come end tomorrow s school day good night ,,
1471,msg u hav 2 read story till d end fav amp ,,
1472,pray po tayo our god great god lt 3 ,,
1473,top story hagupit batter philippines kill least 21 see more ,,
1474,emergency information ,,
1475,typhoon should send shiver through hall lima climate conference ,,
1476,rain heavy than morning god help u hope wake up literally under water ,,
1477,care me don t tell me show me ,,
1478,solidarity just sympathy need climate justice now ,,
1479,let u help one another once again ,,
1480,god bless philippine world ,,
1481,philippine now hit typhoon ruby hope see please pray u thank ilysm x x01 ,,
1482,filipinos return home after typhoon hagupit fear future storm ,,
1483,keepsafe ,,
1484,good night go away ,,
1485,take care everyone keep safe god bless u all ,,
1486,typhoon slam philippine picture ,,
1487,day x night good night ,,
1488,death toll typhoon hagupit rise philippine via ,,
1489,rain ugh ,,
1490,t sleep because typhoon always paranoia non stop raining flooding ,,
1491,ten thousand flee approach typhoon central philippine via ,,
1492,party pa ,,
1493,11pm today p60 738 467 10 total aid provide area hit ,,
1494,our thought all people affect typhoon ruby hagupit especially family lose life ,,
1495,lord please keep our relative inmanila batangas safe typhoon ,,
1496,stay safe ,,
1497,philippine should avoid name typhoon hagupit ,,
1498,stay away ,,
1499,philippine typhoon disaster preparedness highlight also say disaster preparedness vital ,,
1500,rain just wind ,,
1501,dam online ,,
1502,pray ,,
