,content,categories,priority
2315,notley just get off phone pm possible assistance ,"['Hashtags', 'OriginalEvent', 'News']",Low
2316,know where people head ,"['InformationWanted', 'Hashtags', 'OriginalEvent']",Low
2317,unbelievable please safe around fort mcmurray ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2318,pls pray fort mcmurray ,"['MultimediaShare', 'Hashtags', 'OriginalEvent', 'Sentiment']",Low
2319,focus now completely get people out city safely ,"['Hashtags', 'OriginalEvent', 'News']",Low
2320,hope everyone stay safe any update situation honeysuckle wy ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2321,noralta lodge full north grey wolf lodge ,"['MovePeople', 'Factoid', 'Hashtags', 'OriginalEvent']",Low
2322,community grassroots response need hashtag here help ,"['GoodsServices', 'Hashtags', 'OriginalEvent']",Low
2323,awful awful scene alberta canada let hope people get safety soon possible ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2324,please also follow our colleague coverage ,"['Hashtags', 'OriginalEvent', 'News']",Low
2325,when prairie come together good mr wall ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2326,hospital ft mcmurray evacuate ,"['Factoid', 'Hashtags', 'OriginalEvent']",Low
2327,stay tune amp amp local radio update fire please safe ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2328,all help out thank all ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2329,evacuate north stay safe ymm ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2330,pray fort macmurray phone service horrible thank social medium keep me connect family ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2331,fort mcmurray wildfire politician athletes react emergency social medium ,"['Hashtags', 'OriginalEvent', 'News']",Low
2332,thinking people around hard work emerg crew fight fire amp help evac ,"['Factoid', 'Hashtags', 'OriginalEvent', 'Sentiment']",Low
2333,good news suppose cool down start tomorrow should help fire fighter ,"['Weather', 'Hashtags', 'OriginalEvent']",Low
2334,hop friend all safe fort mac evening ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2335,pray everyone ab many islander work live ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2336,download app stay inform wildfire fort mcmurray ,"['Hashtags', 'OriginalEvent', 'Advice']",Low
2337,prompt large fire evacuation history big than slave lake say premier ,"['Weather', 'MultimediaShare', 'Factoid', 'Hashtags', 'OriginalEvent', 'News']",Low
2338,worry my cousin sure okay still worry ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2339,break my heart hope everyone pet get out safely ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2340,proud when erect heartbreaking watch union town burn ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2341,cbc reporting noralta full move grey wolf ,"['MovePeople', 'Hashtags', 'OriginalEvent', 'News', 'Advice']",Low
2342,our heart go out all catch stay safe everyone ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2343,pretty sure my house go fuckin care wife dog pack up stick traffic whole city try go leave ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2344,our prayer community everyone work tirelessly contain safe everyone ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2345,even more neighbourhood now under evactuation order ,"['MultimediaShare', 'Hashtags', 'OriginalEvent', 'News']",Low
2346,possible ft mac wildfire hit oil project tail pond how far town pls excuse my ignorance ,"['InformationWanted', 'Hashtags', 'OriginalEvent']",Low
2347,please stay safe out remember property worth risk your life over get out safely ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2348,terrible love one even imagine people go through sendingprayers ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2349,trapped north fort mcmurray where go military coming ,"['Hashtags', 'OriginalEvent']",Low
2350,travel fort mcmurray area advise due wildfire ,"['Official', 'Hashtags', 'OriginalEvent', 'Advice']",Low
2351,recap people affected hospital evacuate injury death building destroy large ever fire evac ab ,"['Factoid', 'Hashtags', 'OriginalEvent', 'News']",Low
2352,my heavy heart tonight my god ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2353,wildfire terrify clog road pet leave bhind wildlife thinking all hoping best ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2354,beacon hill gas station apparently explode block hwy hopefully nobody hurt people head north ,"['Location', 'Factoid', 'Hashtags', 'OriginalEvent']",Low
2355,heartbreaking emotional interview cbcnn right now fort mac evacuee ,"['Hashtags', 'OriginalEvent']",Low
2356,cause large evacuation history province ,"['MultimediaShare', 'Hashtags', 'OriginalEvent', 'News']",Low
2357,wow ,"['Hashtags', 'OriginalEvent']",Low
2358,pray some nl rain move west thinking everyone go through insanely scary time ,"['MultimediaShare', 'Hashtags', 'OriginalEvent', 'Sentiment']",Low
2359,any site need cook help situation any site please contact me volunteer my service ,"['ServiceAvailable', 'Hashtags', 'OriginalEvent']",Low
2360,people feel witty spout off political commentary right now just everyone big favour stop ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2361,big evacuation due fire history tell reporter ,"['Factoid', 'Hashtags', 'OriginalEvent']",Low
2362,anyone make south needs place get one ,"['ServiceAvailable', 'Hashtags', 'OriginalEvent']",Low
2363,should learn evacuate early next time ,"['Hashtags', 'OriginalEvent', 'Advice']",Low
2364,live update global news re fire ,"['Hashtags', 'OriginalEvent', 'News']",Low
2365,all non essential travel amp now restrict ,"['Factoid', 'Official', 'Hashtags', 'OriginalEvent']",Low
2366,please keep resident your prayer leave home due forest fire ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2367,go north re north gregoire fire jump highway ,"['Hashtags', 'OriginalEvent', 'Advice']",Low
2368,meet my daughter interview need all possible assistance please please ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2369,well mother nature pressure muster up some rain northern alberta would great thanks advance ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2370,scary scary stuff stay safe ft mac rog ,"['MultimediaShare', 'Hashtags', 'OriginalEvent', 'Sentiment']",Low
2371,when evacuation centre get evacuate something serious go many level ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2372,my wife live year stop staring disbelief good luck anyone area ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2373,ominous view my neighbourhood fort mcmurray aren cloud ,"['FirstPartyObservation', 'Hashtags', 'OriginalEvent']",Low
2374,please follow official notice re ,"['Hashtags', 'OriginalEvent', 'Advice']",Low
2375,god damn ridiculously helpless feeling watch people live change alberta step up amp help ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2376,many our student take distance course head down think ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2377,thought everyone around fort mac safe ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2378,final look abasand re get out should too ,"['FirstPartyObservation', 'MultimediaShare', 'Hashtags', 'OriginalEvent', 'Advice']",Low
2379,turn happier thought rn ll still think pray ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2380,hard enjoy beer patio when home burn ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2381,situation horrify first photo gorgeous ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2382,high wind gust day just report situation remain extremely volatile ,"['Weather', 'MultimediaShare', 'Factoid', 'Hashtags', 'OriginalEvent']",Low
2383,anyone know where strand catch evac bus ,"['InformationWanted', 'Hashtags', 'OriginalEvent']",Low
2384,just texting my brother evac some say should yesterday wd time take pet etc ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2385,panoramic shot downtown right now ,"['FirstPartyObservation', 'MultimediaShare', 'Hashtags', 'OriginalEvent']",Low
2386,tragic look bad than slave ,"['MultimediaShare', 'Hashtags', 'OriginalEvent']",Low
2387,stay safe video look way too much like clearlake fire last year ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2388,everyone fort mac please stay safe absolutely terrify ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2389,room people our apartment anyone need somewhere stay ,"['ServiceAvailable', 'Hashtags', 'OriginalEvent']",Low
2390,thanks mondee good uno go emergency shelter very difficult spot sure ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2391,thought amp prayer evacuee up north amp emergency team fight fire amp get ppl safety ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2392,my dad firefighter year dangerous physically demand job ppl evacuate men woman rush ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2393,send prayer family safe evacuation ,"['MultimediaShare', 'Hashtags', 'OriginalEvent', 'Sentiment']",Low
2394,frighten statement put into perspective thought everyone fort mcmurray ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2395,offer help volunteer camp cook ,"['ServiceAvailable', 'Hashtags', 'OriginalEvent']",Low
2396,thought family first responder hop all safe ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2397,footage fort mcmurray fire heart break go bad worse ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2398,prayer safety our neighbor ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2399,break hospital fort mac evacuate live update global ,"['Hashtags', 'OriginalEvent', 'News']",Low
2400,gov alberta website app get late info via notification ,"['Factoid', 'Hashtags', 'OriginalEvent']",Low
2401,my mom finally find my dad hwy help direct traffic left http ,"['Hashtags', 'OriginalEvent']",Low
2402,any support effort evacuee please post ,"['GoodsServices', 'Hashtags', 'OriginalEvent']",Low
2403,hope put some action your thought ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2404,spend long time front line know how hard wildfire control stay safe fight hard boy ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2405,feel need donate support affect please consider cash rather than good cash flexible ,"['Donations', 'Hashtags', 'OriginalEvent']",Low
2406,hospital evacuate stay safe leave here ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2407,wait patiently hear hubby work fortmc ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2408,christ almighty like new orleans evacuate hospital ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2409,want help redcross ca accept donation need support tough time albertans always come together ,"['Donations', 'Hashtags', 'OriginalEvent']",Low
2410,abasand gregoire beacon hill centennial go ,"['Hashtags', 'OriginalEvent']",Low
2411,thank let hope everyone open door need ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2412,safe friend think ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2413,newfoundlanders labradorians desperately flee fort mcmurray wildfire ,"['Factoid', 'Hashtags', 'OriginalEvent']",Low
2414,offer source help evacuee here ,"['ServiceAvailable', 'Hashtags', 'OriginalEvent']",Low
2415,few thing take more gut than tend care patient oxygen fire zone ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2416,my law only road out currently look like ,"['MultimediaShare', 'Hashtags', 'OriginalEvent', 'Sentiment']",Low
2417,thinking our canadian cousins our friend amp follower especially impact ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2418,change plan south open now re head edmonton ,"['Factoid', 'Hashtags', 'OriginalEvent']",Low
2419,also hop my dad leave site tomorrow come home ,"['Hashtags', 'OriginalEvent']",Low
2420,everyone outside our team right top story hit link late ,"['Hashtags', 'OriginalEvent', 'News']",Low
2421,pic send my dad coworker fire right behind company house think go go ,"['MultimediaShare', 'Hashtags', 'OriginalEvent']",Low
2422,evacuation video excellent reporting move thank ,"['Hashtags', 'OriginalEvent', 'News']",Low
2423,townsite under evacuation order people affect thought everyone up stay safe brother sister ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2424,remember your pet thought prayer god speed everyone ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2425,pray whole town pray rain whole province ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2426,scared all stay safe hope all include your pet get out ,"['MultimediaShare', 'Hashtags', 'OriginalEvent', 'Sentiment']",Low
2427,emergency alert television alberta now ,"['Factoid', 'Hashtags', 'OriginalEvent']",Low
2428,see very long time scary ,"['Factoid', 'Hashtags', 'OriginalEvent', 'Sentiment']",Low
2429,alberta government travel advisory just now ,"['Hashtags', 'OriginalEvent', 'Advice']",Low
2430,terrible tragedy unfold ft mac all need stand ready help out ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2431,break beyond resource too dangerous put men amp aircraft between fire ,"['Factoid', 'Hashtags', 'OriginalEvent']",Low
2432,issue travel advisory fort mcmurray consult your airline re schedule change ,"['Factoid', 'Hashtags', 'OriginalEvent', 'Advice']",Low
2433,hug fighter after fire get put out ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2434,update now force flee camp set up house ft mac evacuee ,"['MultimediaShare', 'Hashtags', 'OriginalEvent', 'News']",Low
2435,scary ,"['MultimediaShare', 'Hashtags', 'OriginalEvent', 'Sentiment']",Low
2436,heartbreaking see image our thought everyone area ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2437,just saw helicopter dump water area right near u think jubilee centre ,"['MultimediaShare', 'Hashtags', 'OriginalEvent']",Low
2438,decide barrel through another station blow behind still head south ,"['Hashtags', 'OriginalEvent']",Low
2439,due heavy smoke amp fire driver ask travel fort mcmurray either hwy hwy please careful ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2440,thanks everyone get ride someone thanks your help ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2441,fire fort mac terrify thought all resident amp emergency folk hopefully nightmare end soon ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2442,almost half population fort mcmurray evacuate ,"['Factoid', 'Hashtags', 'OriginalEvent', 'News']",Low
2443,anyone know way into please pm me son anxious get home family ,"['InformationWanted', 'Hashtags', 'OriginalEvent', 'Sentiment']",Low
2444,fort mcmurray canada wildfire enters city limit hundred evacuate ,"['Factoid', 'Hashtags', 'OriginalEvent']",Low
2445,jubilee centre government build re bucket water ,"['MultimediaShare', 'Factoid', 'Hashtags', 'OriginalEvent', 'News']",Low
2446,devastating siren sound hauting all smoke flames large evacuation history sad ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2447,help any evacuee offer assistance any kind use ,"['ServiceAvailable', 'Hashtags', 'OriginalEvent']",Low
2448,flame get closer traffic still isn move out car go off road now ,"['MultimediaShare', 'Hashtags', 'OriginalEvent']",Low
2449,people evacuate timberlea dickensfield thickwood don forget parson creek interchange now open well ,"['Factoid', 'Hashtags', 'OriginalEvent', 'Advice']",Low
2450,make sure pack just case need evacuate timberlea ,"['Hashtags', 'OriginalEvent', 'Advice']",Low
2451,currently estimate evacuate include hospital thinking friend family ,"['Factoid', 'Hashtags', 'OriginalEvent', 'Sentiment']",Low
2452,horrify teary eye watch situation ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2453,too much smokefor more aircraft fly safely ,"['Factoid', 'Hashtags', 'OriginalEvent', 'News']",Low
2454,other thing scary much north possible vision month now ,"['Weather', 'EmergingThreats', 'Hashtags', 'OriginalEvent']",Low
2455,amaze coverage my former colleague include powerful informative interview resident ,"['Hashtags', 'OriginalEvent']",Low
2456,probably more important information should report right now josh ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2457,pack our way north idea where re go thought all lose home ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2458,need help ,"['GoodsServices', 'Hashtags', 'OriginalEvent']",Low
2459,stay safe fort mac especially papa nick finger cross fire die down real soon ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2460,car flee fire speak fort mcmurray resident ,"['MultimediaShare', 'News']",Low
2461,very concerned fellow albertans fort mcmurray under mandatory evacuation wildfire rage ,"['Factoid', 'Hashtags', 'OriginalEvent', 'Sentiment']",Low
2462,bad text ever gotten don know how go radio tonight even breathe ,"['Hashtags', 'OriginalEvent']",Low
2463,evacuate please go north go south ,"['Factoid', 'Hashtags', 'OriginalEvent', 'Advice']",Low
2464,thickwood ,"['Hashtags', 'OriginalEvent']",Low
2465,facebook page folk offer seek ,"['ServiceAvailable', 'Hashtags', 'OriginalEvent']",Low
2466,fort mac fire huge evacuation underway ,"['Hashtags', 'OriginalEvent']",Low
2467,dear mother nature one job fort mac some nl rain now stay safe everyone lt ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2468,only hope after all get twin when rebuilt one hurt course ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2469,community evacuate fire situation fort mcmurray intensifies ,"['Factoid', 'Hashtags', 'OriginalEvent']",Low
2470,hockey hold tonight some thing far more important real life priorities hang everyone ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2471,go long night pray ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2472,thinking everyone please stay safe thank all stay behind keep everyone else safe ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2473,my heart go out fort mcmurray resident ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2474,fort mcmurray evacuate say prayer ask angel watch over ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2475,text my sister family convoy head north out smart people ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2476,story look absolutely terrify heartbreaking stuff ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2477,any other province send help resource ,"['InformationWanted', 'Hashtags', 'OriginalEvent']",Low
2478,people certainly thought prayer resident tonight stay safe ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2479,very scary ,"['MultimediaShare', 'Hashtags', 'OriginalEvent', 'Sentiment']",Low
2480,tree hug hippy need lay off nothing oil some respect ppl loose everything today ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2481,thinking artist friend mandatory evacuation wildfire rage via ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2482,listen premier update wildfire ab ,"['Hashtags', 'OriginalEvent', 'News']",Low
2483,believe fire right now thing replace people smart safe everyone ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2484,thought all affect fire atl canada stand serious time stay saf ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2485,all medium really everyone around ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2486,shell gas station beacon hill blow up ,"['Hashtags', 'OriginalEvent', 'News']",Low
2487,stay safe mom your job save people live fire make sure come home safe ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2488,all tweet me emotional scary devastate province send love your way ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2489,everyone fire game know need spend before fire get big ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2490,follow twitter absolutely terrify happen firefighter try save city ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2491,our thought friend colleague safe ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2492,help now stay safe get out ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2493,fort mcmurray need some prayer canada ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2494,thought go out all deal ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2495,dozen camp north many shutdown housing shouldn problem ,"['ServiceAvailable', 'Hashtags', 'OriginalEvent', 'Advice']",Low
2496,due fire fort mcmurray some flight leave cancel pls check your airline status update ,"['Hashtags', 'OriginalEvent', 'Advice']",Low
2497,wow serious stuff up mac always fire northern ab crazy stay safe ,"['Hashtags', 'OriginalEvent', 'Sentiment']",Low
2498,wcvb boston california quake recover after tremor ,"['Location', 'Factoid', 'News']",Low
2499,california quake damage historic building ,"['FirstPartyObservation', 'Location', 'Factoid', 'OriginalEvent', 'News']",Low
2500,ca home don quake insurance reason ,"['Factoid', 'Advice']",Low
2501,earthquake mag saturday utc central california ,"['Location', 'Factoid', 'Official', 'Hashtags']",Low
2502,california begin quake clear up ,"['ThirdPartyObservation', 'Location', 'MultimediaShare', 'Factoid', 'CleanUp', 'News']",Low
2503,napa valley winery pick up piece after earthquake ,"['Location', 'Factoid', 'CleanUp', 'News']",Low
2504,cohn winery after napa earthquake ,"['Location', 'MultimediaShare', 'CleanUp', 'News']",Low
2505,score injure magnitude gt ,"['Location', 'Factoid', 'Hashtags', 'News']",Low
2506,disaster news pg amp say over distribution outage remain after sunday mag near california ,"['ThirdPartyObservation', 'Location', 'NewSubEvent', 'Factoid', 'Hashtags', 'News', 'ContextualInformation']",Low
2507,ca quake knock napa station off air ,"['ThirdPartyObservation', 'Location', 'NewSubEvent', 'Factoid']",Low
2508,usa earthquake bay area just get hit large earthquake year janinebucks alabama usa montg ,"['ThirdPartyObservation', 'Location', 'Factoid', 'ContextualInformation']",Low
2509,magnitude quake shake san francisco large bay area quake since dallas morning news ,"['Location', 'Factoid', 'Hashtags', 'News', 'ContextualInformation']",Low
2510,my home away home many occasion gt please let damage building people ,"['Hashtags', 'Sentiment']",Low
2511,california earthquake kid skateboard fissured street clean up operation begin ,"['Location', 'CleanUp', 'ContextualInformation']",Low
2512,san francisco earthquake much bad imagine hope everybody ok ,"['ThirdPartyObservation', 'Location']",Low
2513,earthquake rock napa valley via ,"['ThirdPartyObservation', 'Location', 'Factoid']",Low
2514,billion dollar wine rock california earthquake ,"['Location', 'Factoid', 'News']",Low
2515,california quake recover after tremor ,"['ThirdPartyObservation', 'Location', 'Factoid', 'News']",Low
2516,earthquake timing leave many fumble dark california wine country napa calif ,"['Location', 'NewSubEvent', 'Factoid', 'News']",Low
2517,california quake journalist freed syria more news should know morning cbs news aug ,"['Location', 'Factoid', 'News']",Low
2518,sunday sonoma raceway escape earthquake damage ,"['ThirdPartyObservation', 'Factoid', 'Hashtags']",Low
2519,pretty interesting event study use big data ,['Irrelevant'],Low
2520,our extensive coverage ,"['MultimediaShare', 'Factoid', 'Hashtags', 'News']",Low
2521,united state napa valley suffers bad earthquake since october resident remember ,"['Location', 'Factoid', 'News', 'ContextualInformation']",Low
2522,some interesting know early break down tnt equivalent ,"['Factoid', 'Hashtags', 'News']",Low
2523,violent quake rock bay area more aftershock come bridewell say climb over fall ,"['Location', 'EmergingThreats', 'Factoid', 'News']",Low
2524,real time sleep chart show napa valley earthquake wake up almost everyone via ,"['Location', 'Factoid', 'ContextualInformation']",Low
2525,injured critical after napa california quake via ,"['ThirdPartyObservation', 'Location', 'Factoid']",Low
2526,billion dollar wine rock california earthquake ,"['Location', 'Factoid', 'News']",Low
2527,peak customer without power quake ,"['ThirdPartyObservation', 'Location', 'Factoid', 'News']",Low
2528,iris post teachable moment presentation south napa california earthquake ,"['Location', 'Factoid', 'Official']",Low
2529,happen monday news napa earthquake ferguson ,"['Location', 'News']",Low
2530,major cleanup after earthquake california ,"['Location', 'Factoid', 'CleanUp', 'Hashtags', 'News']",Low
2531,california begin clear up after san francisco quake ,"['Location', 'Factoid', 'CleanUp']",Low
2532,damage northern california earthquake reach billion ,"['Location', 'Factoid', 'Hashtags', 'News']",Low
2533,lack ,['Irrelevant'],Low
2534,downtown shut down fear further collapse too dangerous clean up bldgs red tag ,"['Location', 'EmergingThreats', 'CleanUp', 'Hashtags']",Low
2535,mccain use bay area earthquake blast obama foreign policy ,['Irrelevant'],Low
2536,wish all my californian friend bless amp hope all safe all ,"['Location', 'Sentiment']",Low
2537,mt bldgs red tag rope off after day quake live thru ,"['Location', 'Factoid', 'CleanUp', 'News']",Low
2538,magnitude km nw mammoth lake ca ,['Irrelevant'],Low
2539,top story california earthquake bay area pick up piece after strong quake year cnn cnncalif http ,"['Location', 'Factoid', 'News']",Low
2540,earthquake shake california wine country ,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
2541,magnitude hit san francisco bay area ,"['Location', 'Factoid', 'Hashtags', 'News']",Low
2542,before twitter christ too mt california quake km sse clear lake volcano previous eruption year ago ,"['Location', 'Factoid']",Low
2543,valley many injure none life threatening damage http ,"['Location', 'Factoid', 'Hashtags']",Low
2544,image ,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags', 'News']",Low
2545,napa district atty also suffer quake damage piece ceiling come crash down ,"['Location', 'Factoid', 'News']",Low
2546,great article how sf earthquake affect people sleep ,['Irrelevant'],Low
2547,top story today father asks day silence ca wine country hit quake journalist freed ,"['Location', 'Factoid', 'Hashtags', 'Sentiment']",Low
2548,photo quake rattle northern california via ,"['Location', 'News']",Low
2549,number napa earthquake impact via ,"['Location', 'Factoid', 'News']",Low
2550,north california quake people injure area strong earthquake year ,"['Location', 'Factoid', 'Hashtags', 'News']",Low
2551,damage cause sunday frightening gt ,"['Location', 'MultimediaShare', 'Factoid', 'CleanUp', 'News']",Low
2552,old commercial building former brothel brewery most recently wine tasting room ,"['ThirdPartyObservation', 'Location', 'Factoid', 'Hashtags']",Low
2553,local business owner say earthquake unlike anything ,"['Factoid', 'Hashtags', 'News']",Low
2554,photo ,"['Location', 'MultimediaShare', 'Hashtags', 'News']",Low
2555,loss california quake top billion via ,"['Location', 'Factoid', 'News']",Low
2556,pg amp search natural gas leak after northern california quake via ,"['Location', 'Factoid', 'CleanUp']",Low
2557,napa pick up piece after quake via ,"['Location', 'Factoid', 'News']",Low
2558,critically injure send hospital after quake rattle california napa region ,"['Location', 'Factoid', 'News']",Low
2559,dozen building unsafe after quake more than aftershock record sent hospital ,"['Location', 'EmergingThreats', 'Factoid', 'News']",Low
2560,california begin repair after sunday magnitude earthquake ,"['Factoid', 'CleanUp', 'News']",Low
2561,napa pick up piece after quake via ,"['Location', 'Factoid', 'CleanUp', 'News']",Low
2562,quake jolt california wine region via ,"['Location', 'Factoid', 'News']",Low
2563,pinoys hurt california quake dfa ,"['Location', 'Factoid', 'News']",Low
2564,california winemaker clean up after quake via ,"['Location', 'Factoid', 'CleanUp']",Low
2565,new pic california earthquake scotty mac downtown radio via ,['Irrelevant'],Low
2566,critically injure treat hospital after strong damaging california ,"['Location', 'Factoid', 'News']",Low
2567,california earthquake bay area pick up piece after strong quake year ,"['Location', 'Factoid', 'CleanUp', 'News']",Low
2568,california quake crumples building score hurt via ,"['Location', 'Factoid', 'News']",Low
2569,california earthquake bay area pick up piece after strong quake year ,"['Location', 'CleanUp', 'Hashtags']",Low
2570,numerous building uninhabitable after bay area earthquake via ,"['Location', 'Factoid', 'News']",Low
2571,my mind louis martini via ,['Irrelevant'],Low
2572,california quake damage historic building ,['Irrelevant'],Low
2573,quake enki king poseidon vineyard discovery find away ,['Irrelevant'],Low
2574,video crew find fixing water main complicate process via ,"['Location', 'MultimediaShare', 'CleanUp', 'Hashtags', 'News']",Low
2575,woof california quake mean big damage napa valley winery ,['Irrelevant'],Low
2576,hwy open cutting wharf damage quake temporarily repair caltrans monitor ,"['Location', 'Factoid', 'CleanUp', 'Hashtags']",Low
2577,usa news hot news earthquake three critically injured almost treat napa hospital follow ,"['Location', 'Factoid', 'News']",Low
2578,business condemn morning after sunday ,"['Location', 'Factoid', 'Hashtags', 'News']",Low
2579,chicago il tribune local state emergency after magnitude quake strike near napa california ,"['Location', 'Factoid', 'News']",Low
2580,jawbone look up data see how many wake up napa earthquake ,['Irrelevant'],Low
2581,how make most fun out ca earthquake ,['Irrelevant'],Low
2582,over injure napa quake ,"['Location', 'Factoid', 'News']",Low
2583,napa earthquake wake up local more than half san francisco accord data jawbone ,"['Location', 'Factoid']",Low
2584,after chile san francisco now peru strike earthquake sunday after chile san francisco now hit ,['Irrelevant'],Low
2585,seismologist warn northern california big earthquake year may mean big one hit soon ,"['Location', 'EmergingThreats', 'Factoid', 'News']",Low
2586,strong rattle wine country cause state emergency ,"['Location', 'Factoid', 'Official', 'Hashtags', 'News']",Low
2587,napa california earthquake photo gallery ,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
2588,seismologist warn northern california big earthquake year may mean big one hit soon http ,"['Location', 'EmergingThreats', 'Factoid', 'News']",Low
2589,clean up here one home kitchen mess pic ,"['Location', 'CleanUp', 'Hashtags', 'News']",Low
2590,earthquake jolt northern california some power outage report center near napa ,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
2591,child critical after crush fireplace california earthquake ,"['Location', 'Factoid']",Low
2592,barry martin pio speak mark darya ,['Irrelevant'],Low
